mid,standard_question,standard_answer
68,"You are given:
(i) Claims from a short-term disability insurance are reported uniformly throughout each policy year.
(ii) The annual effective interest rate is $i = 0.12$.
(iii) A policyholder census is summarized as follows:

$$
\begin{array}{ccc}
\text{Policy Year} & \text{Number of Policies} & \text{Number of Claims} \\
\hline
1 & 1000 & 100 \\
2 & 900 & 180 \\
\end{array}
$$

Let $K^{(3)}$ denote the number of complete quarter-years elapsed within the policy year when a claim occurs. For a policy starting at time 0, define the present value random variable:

$$
Z = \left\{
\begin{array}{ll}
v^{K^{(3)} + 1/3}, & \text{if the claim occurs within 2 years} \\
v^2, & \text{otherwise}
\end{array}
\right.
$$

Calculate the standard deviation of $Z$. (The final answer should have 4 decimal places.)",0.1158
69,"Bill issues a 10-year loan of 500 with semi-annual interest payments at an annual rate of 6%. The loan is issued at par based on an annual nominal yield of 6%, compounded semi-annually.

As Bill receives each interest payment, he immediately invests the money into an account earning interest at an annual effective rate of \( i \).

At the end of 10 years, immediately after Bill receives the final interest payment and the repayment of the principal, Bill has earned an annual effective yield of 7% on his investment in the loan. Calculate \( i \). (The final answer should have 4 decimal places)",0.0975
70,设某网络安全保险的聚合数据泄露损失 \( S \) 服从复合泊松分布，参数 \(\lambda = 1.5\)。损失额变量 \( X \) 的分布满足 \( p(1) = \frac{2}{3} \)，\( p(2) = \frac{1}{3} \)。定义 \( I_x = E[(S - x)_+] \)。请使用复合泊松分布的递推公式计算 \( E[I_2] \)。结果保留3位小数。,0.669
71,"用线性回归方程研究影响汽车保险季度碰撞事故索赔次数的精算因素。

\[ y_{i} = \beta_{0} + \beta_{1}x_{i1} + \beta_{2}x_{i2} + \beta_{3}x_{i3} + \varepsilon_{i},\quad i = 1,2,\cdots,12 \]

其中：
- \( y_{i} \)：碰撞事故索赔次数
- \( x_{i1} \)：被保险车辆平均车龄（年）
- \( x_{i2} \)：有效保单数量（千单）
- \( x_{i3} \)：恶劣天气期（是为1，否为0）

误差项 \( \varepsilon_{i} \sim N(0,\sigma^{2}) \) 且相互独立。已知去年12个季度的数据如下：

| 季度 | \( y_{i} \) | \( x_{i1} \) | \( x_{i2} \) | \( x_{i3} \) |
|------|------------|--------------|--------------|--------------|
| Q1 | 1 | 3| 1 | 1 |
| Q2 | 3 | 2 | 1 | 1 |
| Q3 | 1 | 2 | 1 | 0 |
| Q4 | 2 | 5 | 2 | 1 |
| Q5 | 4 | 4 | 2 | 1 |
| Q6 | 1 | 1 | 2 | 0 |
| Q7 | 3 | 0 | 2 | 1 |
| Q8 | 2 | 1 | 2 | 1 |
| Q9 | 0 | 1 | 3 | 1 |
| Q10 | 2 | 2 | 3 | 1 |
| Q11 | 1 | 1 | 4 | 0 |
| Q12 | 3 | 4 | 4 | 1 |

逆矩阵保持不变：
\[ (X'X)^{-1} = \begin{bmatrix}
0.861494 & -0.06012 & -0.192 & -2.8787 \\
-0.06012 & 0.043697 & 0.000794 & -0.04846 \\
-0.192 & 0.000794 & 0.081833 & 0.00821 \\
-2.8787 & -0.04846 & 0.00821 & 0.499206
\end{bmatrix} \]

（注：为简化分析，暂不考虑计数数据特性，假设线性回归适用）

对检验 \( H_{0}: \beta_{1} = 0 \)，求检验统计量 \( t \) 值。（结果保留2位小数）",0.74
72,"An insurer issues a one-year product liability insurance policy to a consumer electronics manufacturer. If a liability claim is brought against the manufacturer due to a defective product, the distribution of the total of legal plus settlement costs is uniformly distributed between \$100,000 and \$1,000,000. The number of liability claims brought against the manufacturer in one year, \( N \), is assumed to have the following distribution: \( P[N = 0] = 0.96 \), \( P[N = 1] = 0.03 \), \( P[N = 2] = 0.01 \). The insurer charges a premium equal to \( E[Y] + \sqrt{\text{Var}(Y)} \), where \( Y \) is the annual total claims. Assuming independence between the number of claims and costs, find the premium (nearest \$25,000). (The final answer must be an integer)",175000
73,"You are given:
(i) \( i = {0.06} \)
(ii) \( {\ddot{a}}_{\textbf{57}} = {12.88785} \)
(iii) \( {A}_{\textbf{56} : \overline{1}\mid }^{1} = {0.00606} \)
(iv) \( q_{\textbf{55}} = 0.005 \)
Calculate the FPT reserve at the end of year 2 for a fully discrete whole life insurance of 1000 on (55). (The final answer should have 2 decimals)",14.71
74,"For a portfolio of 100 fully discrete critical illness insurance policies on individuals age (40): 
(i) 50 policies have benefit amount 5000 and 50 policies have benefit amount 10000. 
(ii) The present value of benefit random variable has $A_{40}=0.175$ for the unit benefit. 
(iii) The second moment ${ }^{2} A_{40}=0.060$ 
(iv) $d=0.04$ 
(v) Policies incur 3% commission charges.
Using the normal approximation, determine the premium per 1000 for which the probability of a positive future net loss is $5 \%$. (The final answer should have 2 decimal places)",10.30
75,"A pension fund is evaluating two different liability streams, with payments made at the end of each year: 
Liability 1: Requires annual payments of 1000 for 20 years. 
Liability 2: A perpetual liability with annual payments of 600 for the first 10 years, increasing to 1200 per year starting at the end of year 11 and continuing forever. 

At an annual effective interest rate of $i>0$, both liabilities have a present value of $X$. 
Calculate $X$. 
(The final answer should have 1 decimal place)",8753.8
76,"For a special 3-year temporary life annuity-due on ( $x$ ), you are given:
(i)

| $t$ | Annuity Payment | $p_{x+t}$ |
| :---: | :---: | :---: |
| 0 | 15 | 0.95 |
| 1 | 19.81 | 0.90 |
| 2 | 24.53 | 0.855 |

(ii) $i=0.05$

Calculate the variance of the present value random variable for this annuity. (The final answer should have 2 decimal places)",114.18
77,"An individual deferred life annuity for a person aged 45 provides annual benefits of 120 payable at the beginning of each year, with payments commencing at age 65. Premiums are paid annually at the beginning of each year for 20 years while the annuitant is alive. The insurer imposes an administrative fee equal to 1% of each premium. 
You are given: 
(i) Mortality follows the Standard Ultimate Life Table. 
(ii) $i=0.05$. 
Calculate the annual net premium. (The final answer should have 2 decimal places)",45.23
78,考虑一个汽车保险保单组合，设有20%分保比例。每年，有4%的保单发生一次事故并进入高风险状态（状态1）。在高风险状态下，有32.31%的保单发生二次事故，导致保单注销（状态2），否则保持高风险状态。注销的保单在一年后以正常风险状态（状态0）恢复。假设保单数量不变，保单之间相互独立，状态变化只发生在年初。计算保单处于高风险状态的长期比例。（结果保留3位小数）,0.106
79,小王投资了一个20年期的储蓄计划，本金为1000元。计划每年末支付利息，年利率为8%。该计划在第10年到第12年可以提前赎回本金1050元，第13年到第16年可以赎回1100元，第17年到第19年可以赎回1150元，到期时赎回1200元。根据协议，提前赎回权由发行方行使以最小化融资成本。如果小王要确保获得至少10%的年收益率，发行方会选择在第几年赎回？（结果保留2位小数）,857.23
80,"在养老金精算中，考虑一个多减因表，有两种减因：退休（1）和死亡（2）。已知 \( P_{31}^{(\tau)} = 746 \), \( P_{32}^{(\tau)} = 600 \), \({}_{1\mid}{q}_{30}^{\left( 1\right) } = {0.04},{q'}_{30}^{\left( 1\right) } = {0.09},{q'}_{30}^{\left( 2\right) } = {0.18}\)。则 \( {q}_{31}^{\left( 2\right) } \)的值为多少？（结果保留4位小数）",0.1421
81,"In a household insurance portfolio, policies are classified into three states based on the extent of damage: Minor Damage (State #1), Temporary Total Damage (State #2), or Permanent Total Damage (State #3). Transitions between states occur at the end of the month. If a claim occurs, the number of claims for a policy in a month has a geometric distribution with a mean that depends on the state at the beginning of the month. The numbers of claims are independent. The number in each state at the beginning of a given month, the probability of a claim occurring in the month, and the mean number of claims for policies with claims are displayed in the following table:

| State # | Number in state | Probability of a claim | Mean number of claims if a claim occurs |
| :---: | :---: | :---: | :---: |
| 1 | 400 | 0.2 | 2 |
| 2 | 300 | 0.5 | 15 |
| 3 | 200 | 0.3 | 9 |

The probability of transitioning from one state to another is given by the following matrix (row sums to 1):

| From \ To | State #1 | State #2 | State #3 |
| :---: | :---: | :---: | :---: |
| State #1 | 0.7 | 0.2 | 0.1 |
| State #2 | 0.3 | 0.6 | 0.1 |
| State #3 | 0.0 | 0.0 | 1.0 |

Using the normal approximation for the aggregate distribution, calculate the probability that more than 3000 claims will be required for the given month.(The final answer should have 4 decimal places)",0.4199
82,"Medical expenses follow a two parameter Pareto distribution with parameters \(\alpha = 0.5\) and \(\theta = 2000\). Health insurance pays claims subject to a deductible of 500 and a maximum covered expense of 20,000, with 75% coinsurance. The insurance company charges a fixed administrative fee of 100 per claim, but this fee is not included in the claim payment. Determine the size of the average claim payment. (The final answer should have 3 decimal places)",7374.519
83,"For a special fully discrete 10-payment whole life insurance on (35), you are given:
(i) The death benefit in the first 10 years is the refund of all net premiums paid with interest at $6 \%$.
(ii) The death benefit after 10 years is 1000.
(iii) Level net premiums are payable for 10 years.
(iv) The actuarial present value of a whole life insurance of 1 on (45) is 0.24905.
(v) $i=0.06$.

Calculate the net premium. (The results are retained to 4 decimal places.)",17.8254
84,小李购买了一份面值为100元的15年期储蓄保险单，该保险单每半年支付一次生存保险金，每年计息两次的年名义保险金率为7%。根据保险合同，从第25个支付日开始，小李可以选择在以后（包括第25个支付日）任何一个支付日以保单面值退保，保险单到期日为第30个支付日。小李购买时支付的保费需满足每年计息两次的年名义收益率不低于10%。小李会选择在第几个支付日退保？,30
85,"An insurer issues an annuity to (45) with the following benefits: 
- No benefits if death occurs within 10 years 
- If surviving 10 years: 
  (a) An immediate 10-year annuity-due with annual payments of 1; 
  (b) A deferred lifetime annuity-due commencing at age 55 with annual payments of  1

You are given: 
(i) Mortality follows Standard Ultimate Mortality model. Some data may used show in the table below: 

| \( x \) | \( l_x \)     | 
|---------|---------------| 
| 45      | 99,033.94     | 
| 55      | 97,846.20     | 

(ii) \( i = 0.05 \) 

Calculate the actuarial present value of this annuity.(The final answer should have 2 decimal places)",17.75
86,"An insurance company issues a one-year zero-coupon investment that pays $$2,000$$ at maturity and is currently priced at $$1,860.46$$. It also issues a two-year investment with annual coupons of $$10\%$$ and a maturity value of $$1,000$$, yielding $$8\%$$ to maturity. Determine the one-year forward rate, deferred one year. (The final answer should have 4 decimal places)",0.0855
87,某企业为技术升级建立专项基金，计划每年末向银行存入4075元，15年后一次性提取，年利率为5%。则该年金在全部提取时的积累值为多少元。（结果保留1位小数）,87932.6
88,投保一个完全离散的2年分红型定期收险，保险事故发生时年末给付为810元，每年年初缴纳的均衡纯保费为148元，年利率为5%。已知第一年年末的责任准备金为35元，且本题则保单签订日保险人亏损变量L小于400元的概率为多少？（结果保留3位小数）,0.645
